Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	Node01 - P(0,0)	Node01 - P(0,1)	Node01 - P(1,0)	Node01 - P(1,1)	
44000	-215.130962	31	0.848975	0.313189	6.911896	0.181338	3.879402	2.287407	1.762521	0.115597	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
45000	-210.881849	3	0.626199	0.126925	3.348971	0.330964	3.201617	5.763810	0.602503	0.442562	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
46000	-211.895702	25	0.730364	0.207487	5.209433	0.304962	7.456310	2.402613	1.234722	0.089372	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
47000	-216.207297	33	0.842840	0.234845	7.197929	0.340450	0.463821	4.090097	2.467247	0.448737	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
48000	-212.847086	8	0.611992	0.254892	2.732364	0.780424	6.317897	3.116491	1.191734	0.557015	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
49000	-210.346849	99	0.545364	0.238561	2.676575	0.813812	4.436124	5.595962	1.676024	0.025183	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
50000	-216.328906	3	0.572107	0.380918	2.073353	0.452210	6.963113	6.677723	1.348099	1.841886	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
51000	-208.817095	67	0.387977	0.151666	1.401380	0.182927	1.339793	7.148054	0.753948	0.040796	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
52000	-215.291100	40	0.607609	0.246045	3.968193	0.332719	11.495257	0.632762	1.718072	0.532934	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
53000	-213.393178	50	0.358425	0.219845	4.016829	0.787444	2.001087	1.425715	1.528094	0.280069	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
54000	-212.351415	92	0.433554	0.125412	2.346372	0.830649	3.254236	4.818629	2.680191	0.412960	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
55000	-208.550538	67	0.503752	0.111399	1.802033	0.474644	0.080584	4.704612	1.048141	0.990096	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
56000	-209.985588	3	0.825273	0.291829	2.833773	0.708526	2.822948	3.240687	1.246565	0.202440	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
57000	-208.439787	99	0.631679	0.337644	2.549259	0.119241	6.502934	2.515636	1.847866	0.062729	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
58000	-212.372611	50	0.530610	0.253634	2.738218	0.468721	1.855886	6.834934	0.836931	0.230409	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
59000	-213.956841	14	1.032260	0.251320	3.655525	0.488874	2.504752	2.769297	1.253661	0.582198	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
60000	-216.901023	100	0.661311	0.224473	3.892879	0.462333	0.185338	2.213129	0.817694	1.846302	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
61000	-209.083989	67	0.573959	0.198460	2.283010	0.281901	2.793783	8.174757	1.876872	0.412258	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
62000	-207.803137	92	0.488602	0.126938	2.240234	0.449761	2.024606	3.258667	1.182605	0.110504	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
63000	-211.254908	67	0.584178	0.542641	3.055794	0.345354	3.864667	2.978034	0.767034	0.243473	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
64000	-210.846210	65	0.750214	0.126507	3.238905	0.393286	4.209154	3.477067	1.410668	0.445582	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
65000	-216.704787	74	0.335556	0.226646	3.726913	0.502262	6.081859	0.361763	1.480412	1.478039	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
66000	-210.303916	40	0.311152	0.137068	4.332387	0.354726	0.319715	1.573928	0.861314	0.270397	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
67000	-217.373797	67	0.346503	0.387159	4.114090	1.225920	4.101823	6.399989	2.380907	0.630706	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
68000	-211.881351	88	0.600584	0.093240	3.138872	1.094127	6.400245	0.717968	0.895760	0.447155	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
69000	-212.387017	80	0.476046	0.244557	2.778728	0.414920	4.469923	5.720721	0.896316	0.785364	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
70000	-208.141714	3	0.516133	0.091908	3.292002	0.900908	1.502176	0.925267	0.916956	0.543481	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
71000	-216.601765	49	0.736322	0.540450	4.420388	1.037759	19.776027	0.671470	1.506555	0.225773	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
