Iteration,Lh,Tree No,No Off Parmeters,No Off Zero,Model string,Dep / InDep,q12,q13,q21,q24,q31,q34,q42,q43,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)","Node01 - P(0,0)","Node01 - P(0,1)","Node01 - P(1,0)","Node01 - P(1,1)"
2490000,-214.432411,67,2,2,'0 Z 1 0 0 Z 0 0 ,D,0.896121,0,4.185936,0.896121,0.896121,0,0.896121,0.896121,1,0,0,0,1,0,0,0
2491000,-216.836351,57,2,2,'0 Z 1 0 Z 0 0 0 ,D,0.792471,0,3.521919,0.792471,0,0.792471,0.792471,0.792471,1,0,0,0,1,0,0,0
2492000,-217.322552,92,2,1,'0 Z 1 0 0 0 0 0 ,D,0.828796,0,5.59466,0.828796,0.828796,0.828796,0.828796,0.828796,1,0,0,0,1,0,0,0
2493000,-218.135682,51,2,2,'0 Z 1 0 0 Z 0 0 ,D,0.792447,0,4.091072,0.792447,0.792447,0,0.792447,0.792447,1,0,0,0,1,0,0,0
2494000,-215.824714,67,2,1,'0 Z 1 0 1 0 0 0 ,D,0.831997,0,3.427979,0.831997,3.427979,0.831997,0.831997,0.831997,1,0,0,0,1,0,0,0
2495000,-218.093559,53,2,3,'0 Z 1 0 Z Z 0 0 ,D,0.859687,0,5.130221,0.859687,0,0,0.859687,0.859687,1,0,0,0,1,0,0,0
2496000,-221.864759,77,2,1,'0 Z 1 0 1 1 0 1 ,D,0.514539,0,1.527861,0.514539,1.527861,1.527861,0.514539,1.527861,1,0,0,0,1,0,0,0
2497000,-219.413329,25,2,2,'0 Z 1 0 Z 0 0 0 ,D,0.766928,0,1.800877,0.766928,0,0.766928,0.766928,0.766928,1,0,0,0,1,0,0,0
2498000,-219.01438,23,2,3,'0 Z 1 0 Z Z 0 0 ,D,0.627075,0,5.536134,0.627075,0,0,0.627075,0.627075,1,0,0,0,1,0,0,0
2499000,-215.549736,3,2,3,'0 Z 1 0 Z Z 0 0 ,D,1.007346,0,4.262035,1.007346,0,0,1.007346,1.007346,1,0,0,0,1,0,0,0
2500000,-216.014313,88,2,2,'1 Z 0 1 1 Z 1 1 ,D,0.783916,0,4.860888,0.783916,0.783916,0,0.783916,0.783916,1,0,0,0,1,0,0,0
2501000,-219.547918,57,2,2,'1 Z 0 1 1 Z 1 1 ,D,1.021132,0,6.556088,1.021132,1.021132,0,1.021132,1.021132,1,0,0,0,1,0,0,0
2502000,-222.767992,56,2,1,'1 Z 0 1 1 1 1 1 ,D,0.81258,0,6.838662,0.81258,0.81258,0.81258,0.81258,0.81258,1,0,0,0,1,0,0,0
2503000,-217.152861,80,2,2,'1 Z 0 1 1 Z 1 1 ,D,0.614453,0,3.904983,0.614453,0.614453,0,0.614453,0.614453,1,0,0,0,1,0,0,0
2504000,-212.764274,49,3,1,'0 1 2 0 0 Z 1 1 ,D,0.572775,0.147903,2.05586,0.572775,0.572775,0,0.147903,0.147903,1,0,0,0,1,0,0,0
2505000,-212.320023,67,3,0,'0 0 2 0 1 0 0 0 ,D,0.34567,0.34567,5.242035,0.34567,7.827017,0.34567,0.34567,0.34567,1,0,0,0,1,0,0,0
2506000,-213.067221,67,2,1,'0 0 1 0 1 1 0 Z ,D,0.254974,0.254974,2.035244,0.254974,2.035244,2.035244,0.254974,0,1,0,0,0,1,0,0,0
2507000,-212.8007,92,2,1,'0 0 1 0 1 1 0 Z ,D,0.460147,0.460147,2.960066,0.460147,2.960066,2.960066,0.460147,0,1,0,0,0,1,0,0,0
2508000,-215.277425,77,3,0,'0 0 2 0 1 0 0 0 ,D,0.552274,0.552274,4.828234,0.552274,12.356883,0.552274,0.552274,0.552274,1,0,0,0,1,0,0,0
2509000,-212.333865,74,3,0,'2 1 0 2 2 1 2 2 ,D,0.548219,0.195283,4.956445,0.548219,0.548219,0.195283,0.548219,0.548219,1,0,0,0,1,0,0,0
2510000,-209.983841,48,3,0,'2 1 0 2 2 2 2 2 ,D,0.467114,0.106603,3.798488,0.467114,0.467114,0.467114,0.467114,0.467114,1,0,0,0,1,0,0,0
2511000,-212.114845,88,2,1,'1 1 0 1 0 Z 1 1 ,D,0.343923,0.343923,4.567324,0.343923,4.567324,0,0.343923,0.343923,1,0,0,0,1,0,0,0
2512000,-212.719108,99,3,1,'0 0 2 0 1 Z 0 0 ,D,0.395051,0.395051,3.756362,0.395051,6.247636,0,0.395051,0.395051,1,0,0,0,1,0,0,0
2513000,-215.449491,85,3,1,'1 1 0 1 2 Z 1 1 ,D,0.438317,0.438317,4.794587,0.438317,3.057949,0,0.438317,0.438317,1,0,0,0,1,0,0,0
2514000,-210.998041,67,3,0,'0 0 2 0 1 0 0 0 ,D,0.379482,0.379482,3.551538,0.379482,3.812345,0.379482,0.379482,0.379482,1,0,0,0,1,0,0,0
2515000,-212.48537,88,3,0,'0 0 2 0 1 0 0 0 ,D,0.380695,0.380695,3.690195,0.380695,3.80655,0.380695,0.380695,0.380695,1,0,0,0,1,0,0,0
2516000,-211.855279,3,2,0,'0 0 1 0 1 0 0 0 ,D,0.383222,0.383222,4.744903,0.383222,4.744903,0.383222,0.383222,0.383222,1,0,0,0,1,0,0,0
2517000,-212.637362,46,3,1,'0 0 2 0 1 2 0 Z ,D,0.41504,0.41504,1.939583,0.41504,4.399682,1.939583,0.41504,0,1,0,0,0,1,0,0,0
2518000,-212.52698,88,2,1,'0 0 1 0 1 1 0 Z ,D,0.452772,0.452772,2.014014,0.452772,2.014014,2.014014,0.452772,0,1,0,0,0,1,0,0,0
2519000,-214.120551,9,2,0,'0 0 1 0 1 1 0 0 ,D,0.40853,0.40853,3.283454,0.40853,3.283454,3.283454,0.40853,0.40853,1,0,0,0,1,0,0,0
2520000,-214.527257,31,3,1,'0 0 1 0 2 Z 0 0 ,D,0.481579,0.481579,4.780164,0.481579,6.439995,0,0.481579,0.481579,1,0,0,0,1,0,0,0
2521000,-211.577418,67,3,0,'1 1 0 1 2 1 1 1 ,D,0.365161,0.365161,4.155312,0.365161,1.784048,0.365161,0.365161,0.365161,1,0,0,0,1,0,0,0
2522000,-211.220907,61,3,0,'1 2 0 1 2 1 1 1 ,D,0.359902,0.140786,4.63922,0.359902,0.140786,0.359902,0.359902,0.359902,1,0,0,0,1,0,0,0
2523000,-209.446997,67,2,1,'1 1 0 1 0 0 0 Z ,D,0.270768,0.270768,2.351216,0.270768,2.351216,2.351216,2.351216,0,1,0,0,0,1,0,0,0
2524000,-214.473932,1,2,1,'1 1 0 1 0 0 0 Z ,D,0.279589,0.279589,1.650206,0.279589,1.650206,1.650206,1.650206,0,1,0,0,0,1,0,0,0
2525000,-212.887578,33,2,1,'0 0 1 0 1 1 0 Z ,D,0.320944,0.320944,2.109102,0.320944,2.109102,2.109102,0.320944,0,1,0,0,0,1,0,0,0
2526000,-208.860909,88,3,2,'0 2 1 0 Z Z 0 0 ,D,0.649697,0.108322,3.810306,0.649697,0,0,0.649697,0.649697,1,0,0,0,1,0,0,0
2527000,-210.642059,57,3,0,'0 2 1 0 1 1 0 0 ,D,0.642485,0.102244,2.819145,0.642485,2.819145,2.819145,0.642485,0.642485,1,0,0,0,1,0,0,0
2528000,-216.18738,62,2,2,'1 1 0 1 Z Z 1 1 ,D,0.175657,0.175657,3.926293,0.175657,0,0,0.175657,0.175657,1,0,0,0,1,0,0,0
2529000,-211.044672,99,3,0,'2 0 1 0 0 2 2 0 ,D,0.659521,0.208859,5.266949,0.208859,0.208859,0.659521,0.659521,0.208859,1,0,0,0,1,0,0,0
2530000,-215.89799,52,2,1,'1 1 0 1 0 Z 1 1 ,D,0.220628,0.220628,4.550407,0.220628,4.550407,0,0.220628,0.220628,1,0,0,0,1,0,0,0
2531000,-212.488583,3,2,0,'0 0 1 0 1 0 0 0 ,D,0.453761,0.453761,3.6864,0.453761,3.6864,0.453761,0.453761,0.453761,1,0,0,0,1,0,0,0
2532000,-214.73802,42,3,1,'0 0 1 0 2 Z 0 0 ,D,0.384769,0.384769,3.239465,0.384769,9.041022,0,0.384769,0.384769,1,0,0,0,1,0,0,0
2533000,-211.748341,67,3,1,'1 1 0 1 2 Z 1 1 ,D,0.583738,0.583738,4.336696,0.583738,9.536665,0,0.583738,0.583738,1,0,0,0,1,0,0,0
2534000,-214.303779,48,2,1,'1 1 0 1 0 0 1 Z ,D,0.487077,0.487077,2.151341,0.487077,2.151341,2.151341,0.487077,0,1,0,0,0,1,0,0,0
2535000,-213.707039,33,2,1,'1 1 0 1 Z 1 1 1 ,D,0.253746,0.253746,4.948045,0.253746,0,0.253746,0.253746,0.253746,1,0,0,0,1,0,0,0
2536000,-213.222547,3,2,0,'1 1 0 1 1 1 1 1 ,D,0.349023,0.349023,3.859469,0.349023,0.349023,0.349023,0.349023,0.349023,1,0,0,0,1,0,0,0
2537000,-214.906867,67,2,0,'1 1 0 1 1 1 1 1 ,D,0.430847,0.430847,2.926013,0.430847,0.430847,0.430847,0.430847,0.430847,1,0,0,0,1,0,0,0
2538000,-213.3228,88,2,1,'1 1 0 1 Z 1 1 1 ,D,0.290685,0.290685,4.48813,0.290685,0,0.290685,0.290685,0.290685,1,0,0,0,1,0,0,0
2539000,-211.829269,67,2,0,'1 1 0 1 1 1 1 1 ,D,0.247593,0.247593,4.111444,0.247593,0.247593,0.247593,0.247593,0.247593,1,0,0,0,1,0,0,0
2540000,-212.221399,88,2,1,'1 1 0 1 0 Z 1 1 ,D,0.369337,0.369337,3.724684,0.369337,3.724684,0,0.369337,0.369337,1,0,0,0,1,0,0,0
2541000,-212.312467,9,2,1,'1 1 0 1 0 Z 1 1 ,D,0.330344,0.330344,4.179717,0.330344,4.179717,0,0.330344,0.330344,1,0,0,0,1,0,0,0
2542000,-216.244728,16,2,1,'0 0 1 0 0 Z 0 0 ,D,0.219899,0.219899,4.858637,0.219899,0.219899,0,0.219899,0.219899,1,0,0,0,1,0,0,0
2543000,-213.219582,3,2,0,'1 1 0 1 0 1 1 1 ,D,0.488033,0.488033,3.497563,0.488033,3.497563,0.488033,0.488033,0.488033,1,0,0,0,1,0,0,0
2544000,-211.661712,3,2,0,'0 0 1 0 1 0 0 0 ,D,0.290645,0.290645,4.108318,0.290645,4.108318,0.290645,0.290645,0.290645,1,0,0,0,1,0,0,0
2545000,-211.466167,3,2,1,'0 0 1 0 1 Z 0 0 ,D,0.362828,0.362828,4.711265,0.362828,4.711265,0,0.362828,0.362828,1,0,0,0,1,0,0,0
2546000,-219.266865,25,3,1,'0 0 1 0 2 Z 0 0 ,D,0.869031,0.869031,2.70093,0.869031,21.329775,0,0.869031,0.869031,1,0,0,0,1,0,0,0
2547000,-214.341065,13,3,1,'0 2 1 2 0 0 0 Z ,D,0.943493,0.250268,3.916943,0.250268,0.943493,0.943493,0.943493,0,1,0,0,0,1,0,0,0
2548000,-212.40729,3,2,0,'0 0 1 0 0 0 0 0 ,D,0.243608,0.243608,4.585922,0.243608,0.243608,0.243608,0.243608,0.243608,1,0,0,0,1,0,0,0
2549000,-213.182026,3,3,1,'1 1 0 1 Z 0 2 1 ,D,0.189825,0.189825,5.112094,0.189825,0,5.112094,2.707686,0.189825,1,0,0,0,1,0,0,0
2550000,-212.019104,67,2,1,'1 1 0 1 0 Z 1 1 ,D,0.314169,0.314169,5.333373,0.314169,5.333373,0,0.314169,0.314169,1,0,0,0,1,0,0,0
2551000,-216.222372,33,3,0,'0 0 1 0 2 0 0 0 ,D,0.375271,0.375271,1.451112,0.375271,9.89366,0.375271,0.375271,0.375271,1,0,0,0,1,0,0,0
2552000,-212.81352,3,3,0,'0 0 1 0 2 0 0 0 ,D,0.528715,0.528715,3.051303,0.528715,15.029071,0.528715,0.528715,0.528715,1,0,0,0,1,0,0,0
2553000,-215.404961,21,2,0,'0 0 1 0 1 0 0 0 ,D,0.494786,0.494786,3.651067,0.494786,3.651067,0.494786,0.494786,0.494786,1,0,0,0,1,0,0,0
2554000,-209.178814,67,3,0,'2 0 1 2 2 2 2 0 ,D,0.570247,0.108329,1.537394,0.570247,0.570247,0.570247,0.570247,0.108329,1,0,0,0,1,0,0,0
2555000,-212.009057,83,3,1,'2 0 1 2 0 Z 2 2 ,D,0.643307,0.096226,5.54618,0.643307,0.096226,0,0.643307,0.643307,1,0,0,0,1,0,0,0
2556000,-213.227744,67,2,0,'1 1 0 1 1 1 1 1 ,D,0.378647,0.378647,4.825318,0.378647,0.378647,0.378647,0.378647,0.378647,1,0,0,0,1,0,0,0
2557000,-215.28352,100,2,1,'1 1 0 1 1 0 1 Z ,D,0.27398,0.27398,2.126521,0.27398,0.27398,2.126521,0.27398,0,1,0,0,0,1,0,0,0
2558000,-210.305069,88,3,0,'1 2 0 1 2 1 1 2 ,D,0.743609,0.13041,4.981342,0.743609,0.13041,0.743609,0.743609,0.13041,1,0,0,0,1,0,0,0
2559000,-211.991445,61,3,0,'1 2 0 1 2 1 1 2 ,D,0.877031,0.197033,4.65414,0.877031,0.197033,0.877031,0.877031,0.197033,1,0,0,0,1,0,0,0
2560000,-212.576878,78,3,2,'1 1 2 1 Z 2 0 Z ,D,0.308318,0.308318,4.208679,0.308318,0,4.208679,0.775162,0,1,0,0,0,1,0,0,0
2561000,-221.230407,50,2,1,'0 0 1 0 0 1 0 Z ,D,0.260649,0.260649,1.05666,0.260649,0.260649,1.05666,0.260649,0,1,0,0,0,1,0,0,0
2562000,-207.02092,67,3,1,'0 2 1 0 0 1 0 Z ,D,0.659819,0.231074,2.374761,0.659819,0.659819,2.374761,0.659819,0,1,0,0,0,1,0,0,0
2563000,-213.140324,3,2,0,'1 1 0 1 0 0 1 1 ,D,0.303513,0.303513,2.549066,0.303513,2.549066,2.549066,0.303513,0.303513,1,0,0,0,1,0,0,0
2564000,-211.206048,67,3,1,'1 1 0 1 2 Z 1 1 ,D,0.489113,0.489113,4.586795,0.489113,6.940057,0,0.489113,0.489113,1,0,0,0,1,0,0,0
2565000,-211.209269,3,2,1,'1 1 0 1 0 Z 1 1 ,D,0.345097,0.345097,4.316855,0.345097,4.316855,0,0.345097,0.345097,1,0,0,0,1,0,0,0
2566000,-212.916516,67,2,0,'0 0 1 0 1 0 0 0 ,D,0.411898,0.411898,2.360047,0.411898,2.360047,0.411898,0.411898,0.411898,1,0,0,0,1,0,0,0
2567000,-211.315939,67,2,1,'0 0 1 0 1 Z 0 0 ,D,0.27137,0.27137,3.762746,0.27137,3.762746,0,0.27137,0.27137,1,0,0,0,1,0,0,0
2568000,-211.367956,3,2,1,'0 0 1 0 1 Z 0 0 ,D,0.39243,0.39243,4.317978,0.39243,4.317978,0,0.39243,0.39243,1,0,0,0,1,0,0,0
2569000,-215.33978,25,2,1,'0 0 1 0 0 Z 0 0 ,D,0.322955,0.322955,3.405758,0.322955,0.322955,0,0.322955,0.322955,1,0,0,0,1,0,0,0
2570000,-216.578933,100,2,2,'0 0 1 0 Z Z 0 0 ,D,0.346775,0.346775,5.085985,0.346775,0,0,0.346775,0.346775,1,0,0,0,1,0,0,0
2571000,-212.773367,3,2,0,'1 1 0 1 1 1 1 1 ,D,0.237514,0.237514,3.833017,0.237514,0.237514,0.237514,0.237514,0.237514,1,0,0,0,1,0,0,0
2572000,-213.559946,77,3,0,'1 1 0 1 2 1 1 1 ,D,0.297541,0.297541,4.74163,0.297541,4.988329,0.297541,0.297541,0.297541,1,0,0,0,1,0,0,0
2573000,-214.027325,46,3,1,'0 0 2 0 1 Z 0 0 ,D,0.46344,0.46344,5.221296,0.46344,6.909071,0,0.46344,0.46344,1,0,0,0,1,0,0,0
2574000,-213.488078,62,2,1,'0 0 1 0 1 Z 0 0 ,D,0.368327,0.368327,5.096201,0.368327,5.096201,0,0.368327,0.368327,1,0,0,0,1,0,0,0
2575000,-215.050878,88,2,1,'0 0 1 0 1 1 0 Z ,D,0.433825,0.433825,1.218726,0.433825,1.218726,1.218726,0.433825,0,1,0,0,0,1,0,0,0
2576000,-211.642938,67,2,0,'0 0 1 0 1 1 0 0 ,D,0.362674,0.362674,2.552592,0.362674,2.552592,2.552592,0.362674,0.362674,1,0,0,0,1,0,0,0
2577000,-212.291502,67,3,0,'1 1 2 1 2 0 1 1 ,D,0.344933,0.344933,1.869922,0.344933,1.869922,5.345656,0.344933,0.344933,1,0,0,0,1,0,0,0
2578000,-217.346933,50,2,1,'1 1 0 1 1 Z 1 1 ,D,0.305766,0.305766,3.586275,0.305766,0.305766,0,0.305766,0.305766,1,0,0,0,1,0,0,0
2579000,-210.903528,67,2,0,'1 1 0 1 0 1 1 1 ,D,0.385594,0.385594,3.925537,0.385594,3.925537,0.385594,0.385594,0.385594,1,0,0,0,1,0,0,0
2580000,-208.36276,72,3,2,'0 2 1 2 Z 1 0 Z ,D,0.612495,0.255078,2.998846,0.255078,0,2.998846,0.612495,0,1,0,0,0,1,0,0,0
2581000,-213.180745,99,2,1,'0 0 1 0 1 Z 0 0 ,D,0.36703,0.36703,4.813839,0.36703,4.813839,0,0.36703,0.36703,1,0,0,0,1,0,0,0
2582000,-215.978431,34,2,1,'0 0 1 0 1 Z 0 0 ,D,0.491299,0.491299,5.275289,0.491299,5.275289,0,0.491299,0.491299,1,0,0,0,1,0,0,0
2583000,-216.410809,97,3,1,'2 0 1 2 0 Z 2 0 ,D,0.643129,0.340683,5.36296,0.643129,0.340683,0,0.643129,0.340683,1,0,0,0,1,0,0,0
2584000,-212.84459,67,2,1,'1 1 0 1 Z 1 1 1 ,D,0.25484,0.25484,5.271108,0.25484,0,0.25484,0.25484,0.25484,1,0,0,0,1,0,0,0
2585000,-213.915762,23,2,1,'1 1 0 1 0 Z 1 1 ,D,0.356371,0.356371,3.908966,0.356371,3.908966,0,0.356371,0.356371,1,0,0,0,1,0,0,0
2586000,-212.692401,9,2,1,'1 1 0 1 0 0 1 Z ,D,0.450262,0.450262,2.713386,0.450262,2.713386,2.713386,0.450262,0,1,0,0,0,1,0,0,0
2587000,-212.774182,9,2,1,'0 0 1 0 1 1 0 Z ,D,0.437224,0.437224,1.957773,0.437224,1.957773,1.957773,0.437224,0,1,0,0,0,1,0,0,0
2588000,-218.498635,46,2,2,'0 0 1 0 Z 1 0 Z ,D,0.148534,0.148534,4.430691,0.148534,0,4.430691,0.148534,0,1,0,0,0,1,0,0,0
2589000,-208.822503,49,3,0,'2 0 1 2 2 2 2 0 ,D,0.636695,0.169339,2.955134,0.636695,0.636695,0.636695,0.636695,0.169339,1,0,0,0,1,0,0,0
2590000,-213.541833,33,2,0,'1 1 0 1 1 1 1 1 ,D,0.240313,0.240313,4.806561,0.240313,0.240313,0.240313,0.240313,0.240313,1,0,0,0,1,0,0,0
2591000,-209.178127,9,3,1,'1 2 0 1 1 Z 1 1 ,D,0.673886,0.13342,3.268809,0.673886,0.673886,0,0.673886,0.673886,1,0,0,0,1,0,0,0
2592000,-212.50062,67,2,2,'1 1 0 1 Z Z 1 1 ,D,0.327966,0.327966,4.024823,0.327966,0,0,0.327966,0.327966,1,0,0,0,1,0,0,0
2593000,-213.41863,62,3,1,'1 1 0 1 2 Z 1 1 ,D,0.531253,0.531253,4.261547,0.531253,9.923722,0,0.531253,0.531253,1,0,0,0,1,0,0,0
2594000,-210.607326,67,2,1,'1 1 0 1 0 Z 1 1 ,D,0.368608,0.368608,4.43581,0.368608,4.43581,0,0.368608,0.368608,1,0,0,0,1,0,0,0
2595000,-212.719884,9,2,0,'1 1 0 1 0 1 1 1 ,D,0.367693,0.367693,4.601453,0.367693,4.601453,0.367693,0.367693,0.367693,1,0,0,0,1,0,0,0
2596000,-208.247385,67,3,0,'1 2 0 1 1 1 1 2 ,D,0.686031,0.24277,3.138736,0.686031,0.686031,0.686031,0.686031,0.24277,1,0,0,0,1,0,0,0
2597000,-212.334173,92,2,1,'1 1 0 1 0 Z 1 1 ,D,0.304134,0.304134,4.039553,0.304134,4.039553,0,0.304134,0.304134,1,0,0,0,1,0,0,0
2598000,-215.209838,58,2,1,'0 0 1 0 1 Z 0 0 ,D,0.380688,0.380688,4.851651,0.380688,4.851651,0,0.380688,0.380688,1,0,0,0,1,0,0,0
2599000,-215.261162,91,2,1,'0 0 1 0 1 1 0 Z ,D,0.39706,0.39706,2.982211,0.39706,2.982211,2.982211,0.39706,0,1,0,0,0,1,0,0,0
2600000,-211.349754,67,2,1,'1 1 0 1 1 0 1 Z ,D,0.384113,0.384113,2.621931,0.384113,0.384113,2.621931,0.384113,0,1,0,0,0,1,0,0,0
2601000,-218.020138,99,2,0,'0 0 1 0 1 1 0 0 ,D,0.578008,0.578008,2.331458,0.578008,2.331458,2.331458,0.578008,0.578008,1,0,0,0,1,0,0,0
2602000,-214.777459,46,3,1,'1 1 0 1 2 Z 1 1 ,D,0.527275,0.527275,2.450081,0.527275,11.520231,0,0.527275,0.527275,1,0,0,0,1,0,0,0
2603000,-215.955189,77,2,1,'1 1 0 1 1 Z 1 1 ,D,0.380395,0.380395,3.311309,0.380395,0.380395,0,0.380395,0.380395,1,0,0,0,1,0,0,0
2604000,-216.768296,58,2,0,'1 1 0 1 1 1 1 1 ,D,0.214423,0.214423,4.038305,0.214423,0.214423,0.214423,0.214423,0.214423,1,0,0,0,1,0,0,0
2605000,-212.722625,67,2,0,'1 1 0 1 1 1 1 1 ,D,0.229974,0.229974,3.576359,0.229974,0.229974,0.229974,0.229974,0.229974,1,0,0,0,1,0,0,0
2606000,-209.346826,83,3,1,'0 1 2 1 0 2 0 Z ,D,0.755417,0.159598,2.942948,0.159598,0.755417,2.942948,0.755417,0,1,0,0,0,1,0,0,0
2607000,-216.792614,92,2,1,'0 0 1 0 1 1 0 Z ,D,0.518487,0.518487,4.588242,0.518487,4.588242,4.588242,0.518487,0,1,0,0,0,1,0,0,0
2608000,-209.925672,92,3,1,'0 2 1 0 1 1 0 Z ,D,0.784676,0.177128,1.819505,0.784676,1.819505,1.819505,0.784676,0,1,0,0,0,1,0,0,0
2609000,-214.598665,77,3,1,'0 0 2 0 1 Z 0 0 ,D,0.368166,0.368166,5.330549,0.368166,8.698124,0,0.368166,0.368166,1,0,0,0,1,0,0,0
2610000,-216.0065,100,3,0,'1 1 2 1 0 1 1 1 ,D,0.678299,0.678299,3.141348,0.678299,11.77194,0.678299,0.678299,0.678299,1,0,0,0,1,0,0,0
2611000,-211.368725,3,2,1,'0 0 1 0 1 Z 0 0 ,D,0.385308,0.385308,3.907135,0.385308,3.907135,0,0.385308,0.385308,1,0,0,0,1,0,0,0
2612000,-214.083064,82,2,0,'0 0 1 0 1 0 0 0 ,D,0.349313,0.349313,4.744212,0.349313,4.744212,0.349313,0.349313,0.349313,1,0,0,0,1,0,0,0
2613000,-213.310814,46,2,1,'0 0 1 0 1 Z 0 0 ,D,0.331136,0.331136,4.843402,0.331136,4.843402,0,0.331136,0.331136,1,0,0,0,1,0,0,0
2614000,-214.238663,46,2,0,'0 0 1 0 1 1 0 0 ,D,0.365687,0.365687,2.441442,0.365687,2.441442,2.441442,0.365687,0.365687,1,0,0,0,1,0,0,0
2615000,-208.744361,72,3,1,'0 2 1 2 1 1 0 Z ,D,0.733367,0.148017,2.562497,0.148017,2.562497,2.562497,0.733367,0,1,0,0,0,1,0,0,0
2616000,-209.103788,25,3,0,'1 0 2 0 0 2 1 0 ,D,0.767848,0.183816,2.682421,0.183816,0.183816,2.682421,0.767848,0.183816,1,0,0,0,1,0,0,0
2617000,-215.154218,48,2,1,'0 0 1 0 0 Z 0 0 ,D,0.318295,0.318295,3.576405,0.318295,0.318295,0,0.318295,0.318295,1,0,0,0,1,0,0,0
2618000,-214.357802,80,2,1,'0 0 1 0 1 Z 0 0 ,D,0.224891,0.224891,4.528413,0.224891,4.528413,0,0.224891,0.224891,1,0,0,0,1,0,0,0
2619000,-213.621811,48,3,1,'0 0 1 0 2 Z 0 0 ,D,0.423546,0.423546,4.861799,0.423546,7.281205,0,0.423546,0.423546,1,0,0,0,1,0,0,0
2620000,-215.247251,92,2,2,'0 0 1 0 Z Z 0 0 ,D,0.259533,0.259533,3.04883,0.259533,0,0,0.259533,0.259533,1,0,0,0,1,0,0,0
2621000,-209.062648,67,4,0,'3 1 0 1 2 0 3 1 ,D,0.784592,0.16156,3.091778,0.16156,7.213748,3.091778,0.784592,0.16156,1,0,0,0,1,0,0,0
2622000,-208.537626,9,3,0,'2 1 0 2 1 0 2 1 ,D,0.595922,0.107887,2.345239,0.595922,0.107887,2.345239,0.595922,0.107887,1,0,0,0,1,0,0,0
2623000,-212.933232,67,2,0,'1 1 0 1 1 0 1 1 ,D,0.400607,0.400607,2.193571,0.400607,0.400607,2.193571,0.400607,0.400607,1,0,0,0,1,0,0,0
2624000,-211.435081,92,3,1,'2 1 0 2 0 Z 1 1 ,D,0.489365,0.206094,3.208327,0.489365,3.208327,0,0.206094,0.206094,1,0,0,0,1,0,0,0
2625000,-215.243876,91,3,1,'1 1 2 1 0 Z 1 1 ,D,0.464959,0.464959,4.583154,0.464959,10.081372,0,0.464959,0.464959,1,0,0,0,1,0,0,0
2626000,-213.867346,46,3,1,'0 0 2 0 1 Z 0 0 ,D,0.530666,0.530666,3.72354,0.530666,6.712554,0,0.530666,0.530666,1,0,0,0,1,0,0,0
2627000,-211.221718,3,2,1,'0 0 1 0 1 Z 0 0 ,D,0.336413,0.336413,4.010494,0.336413,4.010494,0,0.336413,0.336413,1,0,0,0,1,0,0,0
2628000,-214.515977,34,2,1,'0 0 1 0 1 Z 0 0 ,D,0.353545,0.353545,3.664476,0.353545,3.664476,0,0.353545,0.353545,1,0,0,0,1,0,0,0
2629000,-213.259492,3,2,1,'0 0 1 0 1 1 0 Z ,D,0.502649,0.502649,3.224643,0.502649,3.224643,3.224643,0.502649,0,1,0,0,0,1,0,0,0
2630000,-212.719756,3,3,1,'0 0 1 0 2 Z 0 0 ,D,0.458415,0.458415,3.955336,0.458415,14.819036,0,0.458415,0.458415,1,0,0,0,1,0,0,0
2631000,-211.658838,67,2,0,'1 1 0 1 0 0 1 1 ,D,0.359909,0.359909,2.282013,0.359909,2.282013,2.282013,0.359909,0.359909,1,0,0,0,1,0,0,0
2632000,-217.389249,27,2,1,'0 0 1 0 0 1 0 Z ,D,0.344069,0.344069,1.469039,0.344069,0.344069,1.469039,0.344069,0,1,0,0,0,1,0,0,0
2633000,-210.934289,3,3,0,'0 2 1 0 0 0 0 2 ,D,0.914496,0.142903,5.377682,0.914496,0.914496,0.914496,0.914496,0.142903,1,0,0,0,1,0,0,0
2634000,-216.224195,33,2,1,'0 Z 1 0 0 0 0 0 ,D,0.810181,0,4.709159,0.810181,0.810181,0.810181,0.810181,0.810181,1,0,0,0,1,0,0,0
2635000,-216.120843,67,2,2,'0 Z 1 0 Z 0 0 0 ,D,1.11921,0,4.487996,1.11921,0,1.11921,1.11921,1.11921,1,0,0,0,1,0,0,0
2636000,-218.683036,72,2,2,'0 Z 1 0 0 Z 0 0 ,D,0.797533,0,6.312163,0.797533,0.797533,0,0.797533,0.797533,1,0,0,0,1,0,0,0
2637000,-218.016504,57,2,2,'0 Z 1 0 Z 0 0 0 ,D,1.109124,0,3.726976,1.109124,0,1.109124,1.109124,1.109124,1,0,0,0,1,0,0,0
2638000,-216.44417,57,2,2,'0 Z 1 0 0 Z 0 0 ,D,0.787135,0,4.506043,0.787135,0.787135,0,0.787135,0.787135,1,0,0,0,1,0,0,0
2639000,-218.336747,77,2,2,'0 Z 1 0 0 Z 0 0 ,D,0.72908,0,5.961178,0.72908,0.72908,0,0.72908,0.72908,1,0,0,0,1,0,0,0
2640000,-218.777827,9,2,2,'0 Z 1 0 Z 0 0 0 ,D,1.189321,0,5.058614,1.189321,0,1.189321,1.189321,1.189321,1,0,0,0,1,0,0,0
2641000,-218.141713,49,2,2,'1 Z 0 0 Z 0 1 0 ,D,0.802457,0,1.556204,1.556204,0,1.556204,0.802457,1.556204,1,0,0,0,1,0,0,0
