Iteration,Lh,Tree No,No Off Parmeters,No Off Zero,Model string,Dep / InDep,q12,q13,q21,q24,q31,q34,q42,q43,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)","Node01 - P(0,0)","Node01 - P(0,1)","Node01 - P(1,0)","Node01 - P(1,1)"
44000,-210.460827,67,2,1,'1 1 0 1 0 0 0 Z ,D,0.343453,0.343453,3.066629,0.343453,3.066629,3.066629,3.066629,0,1,0,0,0,1,0,0,0
45000,-209.600531,67,2,1,'0 0 1 0 1 1 1 Z ,D,0.386726,0.386726,2.293749,0.386726,2.293749,2.293749,2.293749,0,1,0,0,0,1,0,0,0
46000,-215.380352,37,2,1,'0 0 1 0 1 1 1 Z ,D,0.263495,0.263495,2.958721,0.263495,2.958721,2.958721,2.958721,0,1,0,0,0,1,0,0,0
47000,-209.290965,67,2,1,'0 0 1 0 1 1 1 Z ,D,0.292321,0.292321,2.407178,0.292321,2.407178,2.407178,2.407178,0,1,0,0,0,1,0,0,0
48000,-212.746195,80,2,1,'1 1 0 1 0 0 0 Z ,D,0.339444,0.339444,2.855486,0.339444,2.855486,2.855486,2.855486,0,1,0,0,0,1,0,0,0
49000,-213.289215,13,2,1,'1 1 0 1 0 0 0 Z ,D,0.308064,0.308064,2.378187,0.308064,2.378187,2.378187,2.378187,0,1,0,0,0,1,0,0,0
50000,-212.432507,98,3,1,'1 1 0 1 0 2 2 Z ,D,0.332778,0.332778,2.920553,0.332778,2.920553,2.12578,2.12578,0,1,0,0,0,1,0,0,0
51000,-212.479545,82,2,1,'1 1 0 1 0 0 0 Z ,D,0.372014,0.372014,2.259762,0.372014,2.259762,2.259762,2.259762,0,1,0,0,0,1,0,0,0
52000,-210.940592,72,3,0,'0 2 1 2 2 1 0 0 ,D,0.59752,0.148911,2.892137,0.148911,0.148911,2.892137,0.59752,0.59752,1,0,0,0,1,0,0,0
53000,-215.217536,83,3,1,'0 0 1 0 Z 2 0 0 ,D,0.303063,0.303063,4.208885,0.303063,0,1.402755,0.303063,0.303063,1,0,0,0,1,0,0,0
54000,-215.376984,61,2,1,'0 0 1 0 1 1 0 Z ,D,0.350252,0.350252,3.778381,0.350252,3.778381,3.778381,0.350252,0,1,0,0,0,1,0,0,0
55000,-211.130148,34,3,1,'2 0 1 2 0 1 2 Z ,D,0.6485,0.278416,2.675712,0.6485,0.278416,2.675712,0.6485,0,1,0,0,0,1,0,0,0
56000,-211.727901,67,3,1,'1 1 0 1 0 2 1 Z ,D,0.331294,0.331294,1.297038,0.331294,1.297038,3.076125,0.331294,0,1,0,0,0,1,0,0,0
57000,-214.53995,77,2,1,'0 0 1 0 1 Z 0 0 ,D,0.328809,0.328809,5.457415,0.328809,5.457415,0,0.328809,0.328809,1,0,0,0,1,0,0,0
58000,-214.567545,33,3,0,'0 0 1 0 2 0 0 0 ,D,0.376354,0.376354,5.513748,0.376354,9.397432,0.376354,0.376354,0.376354,1,0,0,0,1,0,0,0
59000,-214.07833,99,3,1,'2 0 1 2 Z 2 2 0 ,D,1.048161,0.059451,3.347868,1.048161,0,1.048161,1.048161,0.059451,1,0,0,0,1,0,0,0
60000,-213.391615,3,2,0,'0 0 1 0 1 0 0 0 ,D,0.511399,0.511399,3.927379,0.511399,3.927379,0.511399,0.511399,0.511399,1,0,0,0,1,0,0,0
61000,-211.706753,3,2,0,'1 1 0 1 0 1 1 1 ,D,0.365373,0.365373,3.574785,0.365373,3.574785,0.365373,0.365373,0.365373,1,0,0,0,1,0,0,0
62000,-219.670889,64,2,1,'1 1 0 1 1 1 1 Z ,D,0.319362,0.319362,5.749306,0.319362,0.319362,0.319362,0.319362,0,1,0,0,0,1,0,0,0
63000,-211.704551,95,3,1,'1 2 0 1 1 0 1 Z ,D,0.678976,0.144463,3.106571,0.678976,0.678976,3.106571,0.678976,0,1,0,0,0,1,0,0,0
64000,-217.132658,33,2,2,'0 0 1 0 1 Z 0 Z ,D,0.380183,0.380183,3.862808,0.380183,3.862808,0,0.380183,0,1,0,0,0,1,0,0,0
65000,-212.227745,67,2,0,'0 0 1 0 1 0 0 0 ,D,0.283412,0.283412,5.189597,0.283412,5.189597,0.283412,0.283412,0.283412,1,0,0,0,1,0,0,0
66000,-212.002058,88,2,1,'0 0 1 0 1 Z 0 0 ,D,0.316633,0.316633,4.214425,0.316633,4.214425,0,0.316633,0.316633,1,0,0,0,1,0,0,0
67000,-209.324678,67,3,0,'2 0 1 2 2 2 2 0 ,D,0.542413,0.285283,2.822746,0.542413,0.542413,0.542413,0.542413,0.285283,1,0,0,0,1,0,0,0
68000,-215.520019,85,2,1,'1 1 0 1 1 Z 1 1 ,D,0.283803,0.283803,3.772055,0.283803,0.283803,0,0.283803,0.283803,1,0,0,0,1,0,0,0
69000,-207.111552,67,3,2,'1 2 0 1 Z Z 1 1 ,D,0.644927,0.071945,3.319255,0.644927,0,0,0.644927,0.644927,1,0,0,0,1,0,0,0
70000,-208.721117,3,3,1,'1 2 0 1 0 0 1 Z ,D,0.652437,0.28253,2.469259,0.652437,2.469259,2.469259,0.652437,0,1,0,0,0,1,0,0,0
71000,-215.467383,13,3,2,'2 0 1 Z 0 1 2 Z ,D,0.959117,0.256712,2.92188,0,0.256712,2.92188,0.959117,0,1,0,0,0,1,0,0,0
72000,-216.222393,16,2,1,'0 0 1 0 Z 0 0 0 ,D,0.312983,0.312983,3.79491,0.312983,0,0.312983,0.312983,0.312983,1,0,0,0,1,0,0,0
73000,-213.600627,67,3,2,'0 0 1 0 1 Z 2 Z ,D,0.45033,0.45033,4.788809,0.45033,4.788809,0,1.587437,0,1,0,0,0,1,0,0,0
74000,-212.163807,57,2,1,'0 0 1 0 1 1 1 Z ,D,0.325835,0.325835,2.817896,0.325835,2.817896,2.817896,2.817896,0,1,0,0,0,1,0,0,0
75000,-211.612539,49,2,1,'0 0 1 0 1 1 1 Z ,D,0.382935,0.382935,2.065488,0.382935,2.065488,2.065488,2.065488,0,1,0,0,0,1,0,0,0
76000,-209.319621,67,2,1,'1 1 0 1 0 0 0 Z ,D,0.350984,0.350984,2.02312,0.350984,2.02312,2.02312,2.02312,0,1,0,0,0,1,0,0,0
77000,-213.709737,33,3,1,'0 0 1 0 0 Z 2 0 ,D,0.315099,0.315099,5.617383,0.315099,0.315099,0,0.522978,0.315099,1,0,0,0,1,0,0,0
78000,-215.103617,92,2,2,'0 0 1 0 Z Z 0 0 ,D,0.173898,0.173898,3.933502,0.173898,0,0,0.173898,0.173898,1,0,0,0,1,0,0,0
79000,-211.934159,67,2,1,'0 0 1 0 1 Z 0 0 ,D,0.284703,0.284703,3.134049,0.284703,3.134049,0,0.284703,0.284703,1,0,0,0,1,0,0,0
80000,-211.628006,67,2,0,'0 0 1 0 1 1 0 0 ,D,0.378625,0.378625,2.485715,0.378625,2.485715,2.485715,0.378625,0.378625,1,0,0,0,1,0,0,0
81000,-219.117325,81,2,0,'1 1 0 1 0 0 1 1 ,D,0.276971,0.276971,5.42303,0.276971,5.42303,5.42303,0.276971,0.276971,1,0,0,0,1,0,0,0
82000,-213.498961,67,2,0,'0 0 1 0 0 1 0 0 ,D,0.413003,0.413003,3.354792,0.413003,0.413003,3.354792,0.413003,0.413003,1,0,0,0,1,0,0,0
83000,-210.83746,57,3,0,'2 0 1 2 2 2 2 2 ,D,0.457039,0.213344,3.151986,0.457039,0.457039,0.457039,0.457039,0.457039,1,0,0,0,1,0,0,0
84000,-209.07313,3,3,2,'1 2 0 1 Z Z 1 1 ,D,0.579478,0.197446,3.163737,0.579478,0,0,0.579478,0.579478,1,0,0,0,1,0,0,0
85000,-211.145335,33,3,0,'1 2 0 1 1 2 1 1 ,D,0.762906,0.209375,3.803218,0.762906,0.762906,0.209375,0.762906,0.762906,1,0,0,0,1,0,0,0
86000,-211.590157,3,2,0,'0 0 1 0 1 0 0 0 ,D,0.37024,0.37024,3.775125,0.37024,3.775125,0.37024,0.37024,0.37024,1,0,0,0,1,0,0,0
87000,-211.978537,67,3,1,'0 0 1 0 2 Z 0 0 ,D,0.416069,0.416069,4.780363,0.416069,12.016557,0,0.416069,0.416069,1,0,0,0,1,0,0,0
88000,-214.364063,8,2,1,'1 1 0 1 0 0 1 Z ,D,0.380147,0.380147,2.269951,0.380147,2.269951,2.269951,0.380147,0,1,0,0,0,1,0,0,0
89000,-214.5463,92,2,0,'0 0 1 0 1 1 0 0 ,D,0.370816,0.370816,3.708237,0.370816,3.708237,3.708237,0.370816,0.370816,1,0,0,0,1,0,0,0
90000,-213.1748,88,2,0,'1 1 0 1 1 1 1 1 ,D,0.232802,0.232802,4.096713,0.232802,0.232802,0.232802,0.232802,0.232802,1,0,0,0,1,0,0,0
91000,-212.032085,67,2,0,'1 1 0 1 1 1 1 1 ,D,0.225629,0.225629,4.178782,0.225629,0.225629,0.225629,0.225629,0.225629,1,0,0,0,1,0,0,0
92000,-207.031263,67,3,2,'2 1 0 2 Z Z 2 2 ,D,0.580873,0.124282,2.90382,0.580873,0,0,0.580873,0.580873,1,0,0,0,1,0,0,0
93000,-209.038372,3,3,1,'2 1 0 2 2 Z 2 1 ,D,0.604867,0.143308,4.929613,0.604867,0.604867,0,0.604867,0.143308,1,0,0,0,1,0,0,0
94000,-213.921233,49,2,2,'0 0 1 0 Z 1 0 Z ,D,0.280429,0.280429,2.377617,0.280429,0,2.377617,0.280429,0,1,0,0,0,1,0,0,0
95000,-211.687868,88,3,1,'1 2 0 1 0 0 1 Z ,D,0.482579,0.213611,3.90988,0.482579,3.90988,3.90988,0.482579,0,1,0,0,0,1,0,0,0
96000,-214.404809,88,3,0,'1 1 0 1 0 2 1 1 ,D,0.477439,0.477439,2.870845,0.477439,2.870845,2.177272,0.477439,0.477439,1,0,0,0,1,0,0,0
97000,-216.150238,64,3,0,'0 0 1 0 1 2 0 0 ,D,0.288152,0.288152,2.503603,0.288152,2.503603,4.11651,0.288152,0.288152,1,0,0,0,1,0,0,0
98000,-220.444437,85,2,3,'1 Z 0 1 Z Z 1 1 ,D,0.544049,0,2.967879,0.544049,0,0,0.544049,0.544049,1,0,0,0,1,0,0,0
99000,-217.148431,25,2,3,'1 Z 0 1 Z Z 1 1 ,D,0.588059,0,4.274179,0.588059,0,0,0.588059,0.588059,1,0,0,0,1,0,0,0
100000,-217.835036,67,2,1,'1 Z 0 1 0 1 1 1 ,D,0.757967,0,1.454849,0.757967,1.454849,0.757967,0.757967,0.757967,1,0,0,0,1,0,0,0
101000,-218.006572,49,2,2,'1 Z 0 1 Z 1 1 1 ,D,1.115694,0,5.066942,1.115694,0,1.115694,1.115694,1.115694,1,0,0,0,1,0,0,0
102000,-214.810363,3,3,2,'2 Z 0 2 1 Z 1 1 ,D,0.770466,0,3.920714,0.770466,1.214339,0,1.214339,1.214339,1,0,0,0,1,0,0,0
103000,-214.242144,67,2,2,'1 Z 0 1 1 Z 1 1 ,D,0.728962,0,4.499031,0.728962,0.728962,0,0.728962,0.728962,1,0,0,0,1,0,0,0
104000,-217.694098,40,2,1,'1 Z 0 1 1 1 1 1 ,D,0.798884,0,3.646061,0.798884,0.798884,0.798884,0.798884,0.798884,1,0,0,0,1,0,0,0
105000,-217.19174,9,2,2,'1 Z 0 1 Z 1 1 1 ,D,1.059342,0,3.949153,1.059342,0,1.059342,1.059342,1.059342,1,0,0,0,1,0,0,0
106000,-216.681334,92,2,2,'1 Z 0 1 Z 1 1 1 ,D,0.689152,0,3.84917,0.689152,0,0.689152,0.689152,0.689152,1,0,0,0,1,0,0,0
107000,-217.294291,83,2,2,'1 Z 0 1 1 Z 1 1 ,D,0.646035,0,4.322407,0.646035,0.646035,0,0.646035,0.646035,1,0,0,0,1,0,0,0
